gender,languages_selected,education_level,major_field_of_study,cgpa,current_year,current_semester,experties_major_gpa,experties_suggest_career,student_programming_learned,student_databases_tools,student_cloud_platforms_infra_tools,mind_stress_management,learning_style,student_expectation,preferred_work_environment,work_life_balance,internship_experience,real_world_projects_completed,certifications
female,english,bachelor's degree,computer science,3.51,3,2,3.99,ml engineer,"javascript, php",mongodb,gcp,low,visual,qa engineer,remote,poor,yes,8,aws
male,"english, sinhala",bachelor's degree,computer science,3.99,2,2,2.63,qa engineer,"python, r",mongodb,kubernetes,excellent,auditory,devops engineer,hybrid,average,yes,3,google
male,english,bachelor's degree,computer science,2.39,2,2,2.92,qa engineer,"python, java",sql server,azure,low,auditory,qa engineer,remote,excellent,yes,5,azure
male,"sinhala, tamil",bachelor's degree,software engineering,3.12,4,1,3.09,cloud engineer,"javascript, php",sql server,azure,low,visual,devops engineer,onsite,excellent,yes,5,none
female,english,bachelor's degree,software engineering,2.86,3,1,3.34,software engineer,"python, java",oracle,azure,excellent,auditory,software engineer,onsite,excellent,yes,0,azure
female,english,bachelor's degree,computer science,2.7,3,1,3.75,ml engineer,"python, r",sql server,docker,low,auditory,security engineer,remote,average,no,7,none
male,sinhala,bachelor's degree,information technology,2.87,4,2,3.6,software engineer,"python, r",sql server,docker,low,auditory,devops engineer,remote,excellent,yes,12,google
female,tamil,bachelor's degree,information technology,2.82,1,1,3.73,network engineer,"java, c++",mongodb,azure,moderate,kinesthetic,qa engineer,onsite,excellent,no,11,azure
male,"sinhala, tamil",bachelor's degree,information technology,3.72,3,2,2.76,cloud engineer,"python, java",mongodb,azure,low,auditory,systems analyst,hybrid,excellent,no,7,none
male,english,bachelor's degree,cyber security,3.68,2,1,3.22,devops engineer,"python, sql",mongodb,gcp,low,auditory,data scientist,hybrid,average,yes,3,google
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.35,3,2,3.47,data analyst,"python, java",mongodb,aws,low,visual,software engineer,hybrid,excellent,no,1,azure
female,tamil,bachelor's degree,data science,2.7,1,1,3.89,qa engineer,"java, c++",mongodb,kubernetes,excellent,kinesthetic,software engineer,onsite,poor,yes,6,azure
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.83,1,2,3.26,software engineer,"javascript, php",postgresql,gcp,moderate,visual,systems analyst,remote,poor,no,6,google
female,sinhala,bachelor's degree,information technology,2.32,2,2,3.19,ai engineer,"python, sql",postgresql,azure,excellent,visual,security engineer,hybrid,excellent,yes,1,none
female,"sinhala, tamil",bachelor's degree,information technology,2.91,4,1,2.73,qa engineer,"c#, .net",sql server,gcp,moderate,visual,security engineer,hybrid,poor,no,3,none
female,"tamil, english",bachelor's degree,data science,3.15,1,2,2.49,devops engineer,"python, r",mysql,gcp,moderate,auditory,software engineer,onsite,poor,no,1,azure
female,"english, sinhala",bachelor's degree,data science,2.94,3,1,2.42,data analyst,"python, sql",postgresql,aws,excellent,visual,software engineer,hybrid,poor,no,3,google
male,"tamil, english",bachelor's degree,cyber security,2.74,2,2,3.16,network engineer,"java, c++",sql server,kubernetes,excellent,visual,software engineer,onsite,poor,yes,8,none
female,english,bachelor's degree,data science,2.22,2,2,2.33,data analyst,"javascript, php",mongodb,docker,excellent,kinesthetic,systems analyst,onsite,excellent,no,1,none
male,tamil,bachelor's degree,cyber security,2.43,2,1,3.96,qa engineer,"python, sql",postgresql,kubernetes,low,visual,devops engineer,hybrid,average,yes,5,azure
male,"tamil, english",bachelor's degree,information technology,3.6,3,2,3.06,cloud engineer,"java, c++",mysql,kubernetes,low,kinesthetic,systems analyst,onsite,average,yes,3,aws
male,"sinhala, tamil",bachelor's degree,cyber security,3.57,4,1,2.48,devops engineer,"python, r",mysql,aws,low,visual,security engineer,hybrid,average,no,2,none
female,tamil,bachelor's degree,data science,2.25,1,1,3.25,software engineer,"javascript, php",sql server,gcp,moderate,visual,data scientist,remote,excellent,no,7,none
female,english,bachelor's degree,information technology,2.34,4,2,3.0,qa engineer,"javascript, php",sql server,docker,excellent,kinesthetic,systems analyst,hybrid,poor,yes,5,aws
female,sinhala,bachelor's degree,software engineering,2.96,1,2,3.53,data analyst,"python, sql",postgresql,docker,moderate,kinesthetic,security engineer,hybrid,average,no,9,azure
male,sinhala,bachelor's degree,data science,3.19,1,2,2.51,qa engineer,"javascript, php",mongodb,gcp,low,auditory,qa engineer,remote,average,yes,8,cisco
female,"sinhala, tamil",bachelor's degree,data science,2.57,4,2,3.13,cloud engineer,"python, sql",oracle,aws,moderate,visual,devops engineer,remote,poor,no,11,aws
female,"english, sinhala",bachelor's degree,information technology,3.13,2,2,3.29,cyber security analyst,"c#, .net",postgresql,azure,low,auditory,qa engineer,onsite,average,yes,6,aws
female,"tamil, english",bachelor's degree,software engineering,2.22,3,2,4.0,cloud engineer,"java, c++",sql server,azure,low,visual,security engineer,remote,poor,yes,8,cisco
female,"english, sinhala, tamil",bachelor's degree,computer science,2.93,2,2,2.79,devops engineer,"python, java",oracle,aws,low,visual,systems analyst,onsite,excellent,no,4,google
female,"sinhala, tamil",bachelor's degree,computer science,3.73,4,1,2.85,network engineer,"python, sql",mongodb,gcp,low,kinesthetic,devops engineer,remote,average,no,7,none
female,"english, sinhala, tamil",bachelor's degree,information technology,3.83,1,2,2.22,cyber security analyst,"python, r",postgresql,aws,moderate,auditory,security engineer,remote,poor,no,12,none
male,sinhala,bachelor's degree,software engineering,3.37,4,2,2.86,data analyst,"java, c++",sql server,aws,low,auditory,data scientist,hybrid,excellent,no,9,cisco
male,english,bachelor's degree,information technology,3.37,2,2,3.69,data analyst,"python, sql",mysql,azure,moderate,visual,qa engineer,remote,average,yes,3,none
female,"english, sinhala",bachelor's degree,cyber security,3.41,2,1,2.31,devops engineer,"javascript, php",mysql,kubernetes,excellent,auditory,systems analyst,onsite,excellent,no,12,google
male,tamil,bachelor's degree,software engineering,2.25,4,2,3.72,ai engineer,"python, java",sql server,kubernetes,moderate,kinesthetic,systems analyst,remote,average,yes,10,none
female,tamil,bachelor's degree,information technology,3.27,3,2,2.3,cyber security analyst,"javascript, php",oracle,kubernetes,excellent,visual,security engineer,hybrid,poor,no,11,azure
female,"sinhala, tamil",bachelor's degree,computer science,3.89,1,1,2.29,ml engineer,"python, r",oracle,gcp,excellent,visual,software engineer,onsite,excellent,yes,6,aws
female,"sinhala, tamil",bachelor's degree,information technology,3.97,4,1,3.63,cloud engineer,"python, r",mysql,docker,low,kinesthetic,software engineer,onsite,excellent,no,3,cisco
male,english,bachelor's degree,information technology,2.53,3,1,3.64,qa engineer,"c#, .net",mongodb,aws,moderate,kinesthetic,devops engineer,hybrid,excellent,no,5,azure
female,sinhala,bachelor's degree,computer science,2.77,2,2,3.86,network engineer,"python, java",mongodb,kubernetes,low,auditory,software engineer,remote,average,yes,12,aws
female,english,bachelor's degree,computer science,2.64,3,1,3.87,data analyst,"java, c++",sql server,docker,moderate,auditory,systems analyst,onsite,average,no,9,aws
female,"tamil, english",bachelor's degree,cyber security,2.71,4,1,3.18,software engineer,"python, r",mysql,gcp,low,kinesthetic,qa engineer,onsite,average,yes,12,google
male,english,bachelor's degree,information technology,3.31,2,1,3.59,ml engineer,"python, sql",mongodb,gcp,excellent,visual,qa engineer,hybrid,poor,no,5,google
female,"english, sinhala",bachelor's degree,software engineering,3.92,2,1,3.29,software engineer,"python, java",mysql,azure,excellent,kinesthetic,data scientist,remote,poor,yes,9,none
female,english,bachelor's degree,software engineering,3.45,4,1,3.12,ml engineer,"java, c++",oracle,docker,moderate,kinesthetic,data scientist,onsite,excellent,no,9,none
male,"tamil, english",bachelor's degree,cyber security,2.83,4,2,2.87,cloud engineer,"python, java",mongodb,azure,excellent,visual,systems analyst,onsite,poor,yes,4,aws
female,"sinhala, tamil",bachelor's degree,cyber security,2.6,4,2,2.92,qa engineer,"c#, .net",mongodb,kubernetes,moderate,visual,data scientist,hybrid,excellent,no,12,azure
male,sinhala,bachelor's degree,information technology,3.1,3,2,3.41,systems analyst,"c#, .net",sql server,docker,low,visual,qa engineer,hybrid,average,yes,10,aws
male,"tamil, english",bachelor's degree,data science,3.35,4,2,3.61,ml engineer,"c#, .net",sql server,azure,moderate,visual,security engineer,onsite,average,no,5,cisco
female,english,bachelor's degree,cyber security,3.13,1,2,2.28,data analyst,"python, sql",sql server,kubernetes,excellent,auditory,security engineer,remote,average,yes,9,google
male,"english, sinhala, tamil",bachelor's degree,information technology,3.52,1,2,3.18,ml engineer,"javascript, php",postgresql,docker,moderate,visual,qa engineer,remote,excellent,no,4,azure
female,english,bachelor's degree,computer science,3.91,4,1,2.46,qa engineer,"python, sql",oracle,kubernetes,excellent,visual,software engineer,hybrid,average,no,1,azure
male,tamil,bachelor's degree,information technology,3.67,1,2,3.2,software engineer,"python, r",mongodb,docker,low,kinesthetic,security engineer,remote,excellent,no,9,aws
female,"english, sinhala",bachelor's degree,cyber security,2.61,3,2,2.84,ml engineer,"python, java",mysql,docker,moderate,auditory,systems analyst,onsite,excellent,no,2,azure
male,english,bachelor's degree,software engineering,3.8,1,1,3.05,software engineer,"javascript, php",mongodb,docker,low,auditory,software engineer,onsite,poor,no,0,cisco
female,english,bachelor's degree,cyber security,2.71,2,2,2.44,cloud engineer,"javascript, php",mysql,docker,moderate,kinesthetic,security engineer,remote,excellent,yes,12,azure
male,tamil,bachelor's degree,data science,2.26,2,2,3.89,data analyst,"python, java",mysql,aws,excellent,auditory,software engineer,onsite,poor,yes,1,google
male,"tamil, english",bachelor's degree,cyber security,2.54,1,2,2.34,cyber security analyst,"python, r",mongodb,aws,moderate,auditory,systems analyst,remote,average,no,10,azure
female,"english, sinhala",bachelor's degree,cyber security,2.32,1,2,3.47,ml engineer,"python, java",mongodb,kubernetes,excellent,auditory,software engineer,hybrid,poor,no,5,aws
female,"english, sinhala, tamil",bachelor's degree,information technology,4.0,4,1,2.83,data analyst,"java, c++",postgresql,azure,moderate,auditory,qa engineer,hybrid,average,yes,6,google
female,"english, sinhala, tamil",bachelor's degree,software engineering,3.32,4,2,3.53,network engineer,"python, r",oracle,kubernetes,moderate,kinesthetic,qa engineer,hybrid,average,no,9,azure
female,tamil,bachelor's degree,computer science,3.91,1,1,3.25,cloud engineer,"python, r",mysql,gcp,excellent,auditory,qa engineer,hybrid,excellent,yes,9,azure
female,"english, sinhala",bachelor's degree,cyber security,2.73,1,2,3.89,devops engineer,"python, r",sql server,gcp,low,visual,software engineer,onsite,average,no,6,cisco
female,"english, sinhala",bachelor's degree,cyber security,3.52,2,2,3.68,devops engineer,"javascript, php",oracle,gcp,excellent,auditory,qa engineer,hybrid,excellent,yes,9,google
male,"english, sinhala",bachelor's degree,data science,2.62,3,1,2.33,data analyst,"java, c++",sql server,aws,low,visual,software engineer,remote,average,no,8,azure
male,english,bachelor's degree,computer science,3.13,4,1,3.16,cyber security analyst,"python, sql",postgresql,azure,excellent,kinesthetic,data scientist,remote,poor,no,8,none
male,"english, sinhala, tamil",bachelor's degree,computer science,3.39,4,2,3.34,qa engineer,"javascript, php",oracle,azure,moderate,kinesthetic,devops engineer,hybrid,average,yes,12,azure
female,"sinhala, tamil",bachelor's degree,data science,3.53,3,1,2.29,ai engineer,"java, c++",mysql,aws,moderate,kinesthetic,data scientist,remote,average,no,11,none
male,"tamil, english",bachelor's degree,information technology,2.68,2,1,3.17,data analyst,"javascript, php",sql server,kubernetes,excellent,kinesthetic,data scientist,onsite,excellent,no,0,aws
female,english,bachelor's degree,cyber security,3.19,1,1,2.99,data analyst,"python, r",sql server,docker,excellent,visual,qa engineer,remote,excellent,no,4,google
female,sinhala,bachelor's degree,data science,3.22,2,1,3.59,cloud engineer,"python, sql",oracle,kubernetes,moderate,auditory,software engineer,hybrid,poor,no,5,cisco
female,english,bachelor's degree,cyber security,3.4,2,1,3.27,ml engineer,"javascript, php",oracle,aws,moderate,auditory,devops engineer,onsite,average,yes,9,azure
male,tamil,bachelor's degree,software engineering,2.53,1,1,2.35,network engineer,"python, java",sql server,docker,moderate,kinesthetic,security engineer,onsite,average,yes,6,google
male,sinhala,bachelor's degree,computer science,2.98,4,1,3.16,ai engineer,"javascript, php",mysql,gcp,low,auditory,software engineer,remote,poor,no,10,azure
male,sinhala,bachelor's degree,software engineering,3.23,1,1,3.4,devops engineer,"python, java",mongodb,docker,excellent,auditory,qa engineer,hybrid,poor,yes,11,aws
female,"sinhala, tamil",bachelor's degree,computer science,3.48,2,1,3.97,cloud engineer,"python, r",postgresql,aws,excellent,visual,qa engineer,remote,excellent,no,11,google
male,"tamil, english",bachelor's degree,cyber security,3.0,3,1,2.67,devops engineer,"java, c++",oracle,kubernetes,excellent,visual,security engineer,remote,average,yes,4,aws
female,"tamil, english",bachelor's degree,information technology,3.99,1,1,3.87,ml engineer,"python, java",mysql,gcp,moderate,kinesthetic,devops engineer,hybrid,excellent,yes,4,none
female,"english, sinhala",bachelor's degree,computer science,3.0,2,1,3.67,ai engineer,"javascript, php",postgresql,kubernetes,moderate,kinesthetic,software engineer,onsite,excellent,yes,11,azure
male,"tamil, english",bachelor's degree,data science,3.19,1,1,2.99,devops engineer,"javascript, php",postgresql,aws,excellent,auditory,systems analyst,onsite,average,no,8,azure
female,english,bachelor's degree,information technology,2.67,2,1,2.82,cloud engineer,"python, java",mongodb,kubernetes,excellent,auditory,qa engineer,onsite,poor,no,10,aws
female,tamil,bachelor's degree,data science,3.03,2,1,3.35,ml engineer,"java, c++",sql server,aws,low,visual,data scientist,onsite,poor,no,0,cisco
male,"tamil, english",bachelor's degree,computer science,2.57,2,1,2.25,data analyst,"python, sql",postgresql,docker,low,visual,devops engineer,onsite,excellent,yes,11,google
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.32,1,2,2.8,cyber security analyst,"javascript, php",mongodb,kubernetes,moderate,auditory,data scientist,hybrid,average,yes,2,google
female,"english, sinhala, tamil",bachelor's degree,information technology,3.6,4,1,3.75,devops engineer,"java, c++",postgresql,gcp,low,auditory,security engineer,hybrid,poor,no,4,cisco
male,"english, sinhala",bachelor's degree,information technology,2.66,3,2,3.71,ml engineer,"c#, .net",mysql,azure,low,visual,security engineer,onsite,poor,yes,9,google
female,tamil,bachelor's degree,software engineering,3.93,4,1,2.65,software engineer,"java, c++",mongodb,docker,low,kinesthetic,data scientist,remote,excellent,yes,9,cisco
female,"english, sinhala, tamil",bachelor's degree,information technology,3.41,1,2,3.68,devops engineer,"python, java",sql server,gcp,moderate,auditory,qa engineer,hybrid,excellent,no,1,none
male,"tamil, english",bachelor's degree,data science,3.44,3,2,3.5,cloud engineer,"javascript, php",mongodb,kubernetes,low,auditory,devops engineer,onsite,poor,no,2,cisco
female,"english, sinhala",bachelor's degree,software engineering,3.59,3,2,2.44,data analyst,"python, sql",sql server,azure,low,visual,qa engineer,onsite,excellent,yes,4,aws
female,english,bachelor's degree,cyber security,3.87,3,1,3.65,software engineer,"python, java",mysql,kubernetes,excellent,kinesthetic,data scientist,hybrid,excellent,yes,0,google
male,english,bachelor's degree,software engineering,3.16,2,2,2.26,devops engineer,"python, java",sql server,aws,excellent,auditory,devops engineer,remote,poor,yes,8,aws
female,"sinhala, tamil",bachelor's degree,information technology,2.91,2,1,3.29,ai engineer,"python, sql",oracle,kubernetes,low,kinesthetic,devops engineer,remote,excellent,yes,0,azure
male,"english, sinhala, tamil",bachelor's degree,software engineering,3.52,2,1,2.59,data analyst,"java, c++",oracle,docker,low,visual,security engineer,remote,excellent,no,5,cisco
male,"english, sinhala, tamil",bachelor's degree,data science,2.92,2,2,2.81,qa engineer,"python, sql",sql server,kubernetes,moderate,auditory,qa engineer,onsite,excellent,yes,0,none
male,"tamil, english",bachelor's degree,software engineering,2.26,4,1,3.99,systems analyst,"python, r",mongodb,kubernetes,low,auditory,qa engineer,remote,excellent,no,11,cisco
female,tamil,bachelor's degree,computer science,3.44,3,2,3.77,ml engineer,"javascript, php",mysql,docker,excellent,kinesthetic,software engineer,hybrid,poor,no,2,google
male,"tamil, english",bachelor's degree,cyber security,3.68,2,1,3.06,devops engineer,"c#, .net",mysql,gcp,excellent,kinesthetic,qa engineer,remote,average,yes,5,azure
male,"tamil, english",bachelor's degree,data science,3.64,2,2,3.45,data analyst,"javascript, php",mongodb,azure,moderate,kinesthetic,software engineer,remote,average,no,6,google
male,english,bachelor's degree,computer science,2.35,3,2,3.94,ml engineer,"c#, .net",sql server,kubernetes,moderate,kinesthetic,devops engineer,hybrid,poor,yes,5,azure
male,"english, sinhala, tamil",bachelor's degree,software engineering,3.93,3,1,3.74,software engineer,"c#, .net",mongodb,gcp,moderate,visual,qa engineer,onsite,poor,yes,12,azure
female,"tamil, english",bachelor's degree,cyber security,3.77,3,1,3.99,qa engineer,"c#, .net",oracle,gcp,low,auditory,software engineer,onsite,poor,yes,7,azure
male,"english, sinhala",bachelor's degree,data science,3.66,2,1,3.89,qa engineer,"java, c++",mongodb,kubernetes,low,visual,devops engineer,remote,excellent,no,1,aws
female,"english, sinhala, tamil",bachelor's degree,cyber security,3.1,4,2,2.34,ml engineer,"c#, .net",postgresql,azure,moderate,visual,data scientist,hybrid,excellent,no,1,none
male,"english, sinhala",bachelor's degree,data science,3.3,4,2,2.83,ml engineer,"c#, .net",sql server,aws,excellent,visual,security engineer,onsite,excellent,no,8,cisco
male,sinhala,bachelor's degree,information technology,2.48,2,1,3.9,cyber security analyst,"javascript, php",postgresql,docker,moderate,visual,devops engineer,remote,poor,yes,4,azure
male,"english, sinhala, tamil",bachelor's degree,software engineering,2.41,3,1,3.92,cloud engineer,"python, sql",sql server,gcp,low,visual,devops engineer,onsite,poor,no,12,none
male,english,bachelor's degree,cyber security,2.53,2,2,3.56,network engineer,"python, r",mysql,docker,moderate,auditory,software engineer,hybrid,poor,yes,9,azure
female,english,bachelor's degree,software engineering,3.36,1,1,2.94,data analyst,"java, c++",sql server,docker,moderate,auditory,devops engineer,onsite,poor,yes,6,cisco
female,"english, sinhala",bachelor's degree,software engineering,2.27,3,2,2.69,systems analyst,"java, c++",sql server,gcp,low,visual,devops engineer,hybrid,excellent,yes,11,google
female,"english, sinhala",bachelor's degree,computer science,3.69,1,2,3.14,devops engineer,"python, sql",sql server,azure,low,visual,software engineer,hybrid,average,yes,3,none
female,"english, sinhala, tamil",bachelor's degree,information technology,3.49,1,2,3.25,ai engineer,"c#, .net",mongodb,docker,moderate,visual,software engineer,remote,excellent,no,7,aws
male,"english, sinhala",bachelor's degree,software engineering,3.48,1,1,2.56,cloud engineer,"python, sql",mongodb,docker,excellent,visual,security engineer,hybrid,poor,yes,0,cisco
male,tamil,bachelor's degree,software engineering,3.88,1,1,3.18,cyber security analyst,"java, c++",mysql,aws,excellent,visual,systems analyst,onsite,average,yes,12,azure
female,"tamil, english",bachelor's degree,information technology,3.28,4,1,3.52,ml engineer,"python, java",sql server,aws,excellent,kinesthetic,data scientist,remote,poor,no,1,azure
male,"english, sinhala, tamil",bachelor's degree,data science,2.67,4,1,2.3,network engineer,"c#, .net",mongodb,kubernetes,low,kinesthetic,security engineer,onsite,poor,yes,1,aws
male,tamil,bachelor's degree,data science,2.29,3,1,2.33,cloud engineer,"java, c++",mongodb,gcp,moderate,visual,software engineer,onsite,excellent,no,5,cisco
female,"english, sinhala, tamil",bachelor's degree,data science,3.96,2,2,3.29,cloud engineer,"python, java",sql server,aws,excellent,visual,systems analyst,remote,excellent,yes,0,google
male,"sinhala, tamil",bachelor's degree,cyber security,3.09,2,1,2.93,cloud engineer,"python, r",mongodb,kubernetes,excellent,visual,data scientist,remote,excellent,yes,0,google
female,sinhala,bachelor's degree,data science,2.73,3,1,3.15,qa engineer,"java, c++",sql server,docker,excellent,kinesthetic,security engineer,onsite,poor,no,10,none
